Semi Month,CDU/CSU,SPD,GRÜNE,FDP,LINKE,AfD,REP,PIRATEN,FW,NPD,KPD/DKP,BP,Other
2010-06-30,31.67,28.33,16.5,5.67,11.44,,,,,,,,6.39
2010-07-15,31.4,28.6,17.2,5.0,11.0,,,,,,,,6.8
2010-07-31,31.56,29.81,16.69,5.19,10.44,,,,,,,,6.31
2010-08-15,30.4,29.2,17.4,5.6,10.8,,,,,,,,6.6
2010-08-31,31.12,29.5,17.5,5.38,10.06,,,,,,,,6.44
2010-09-15,31.12,27.88,18.88,5.5,10.25,,,,,,,,6.38
2010-09-30,30.81,27.69,19.94,5.44,9.88,,,,,,,,6.25
2010-10-15,31.0,26.88,21.12,5.0,10.12,,,,,,,,5.88
2010-10-31,30.93,26.14,21.79,4.93,9.93,,,,,,,,6.29
2010-11-15,31.38,25.75,22.12,5.0,10.0,,,,,,,,5.75
2010-11-30,32.67,24.75,20.92,5.5,9.83,,,,,,,,6.33
2010-12-15,33.75,24.88,20.38,4.75,10.0,,,,,,,,6.25
2010-12-31,34.0,26.5,19.36,4.57,9.71,,,,,,,,5.86
2011-01-15,35.0,26.0,19.6,4.2,9.2,,,,,,,,6.0
2011-01-31,35.28,26.39,19.0,4.61,8.72,,,,,,,,6.0
2011-02-15,35.43,24.86,18.86,5.14,9.29,,,,,,,,6.43
2011-02-28,35.56,25.94,17.5,5.5,9.06,,,,,,,,6.44
2011-03-15,34.6,27.6,15.4,5.8,9.6,,,,,,,,7.0
2011-03-31,34.65,26.8,18.8,5.15,8.4,,,,,,,,6.2
2011-04-15,32.5,25.75,23.88,4.25,7.88,,,,,,,,5.75
2011-04-30,32.0,24.17,24.83,4.33,8.17,,,,,,,,6.5
2011-05-15,33.12,24.12,23.88,4.38,8.12,,,,,,,,6.38
2011-05-31,32.78,24.89,23.33,4.5,8.06,,,,,,,,6.44
2011-06-15,32.5,24.83,24.0,4.5,8.0,,,,,,,,6.17
2011-06-30,32.79,24.93,23.0,4.79,8.14,,,,,,,,6.36
2011-07-15,32.67,25.83,22.17,4.67,8.33,,,,,,,,6.33
2011-07-31,32.75,26.38,21.88,4.31,8.56,,,,,,,,6.12
2011-08-15,32.67,27.5,21.33,3.83,8.5,,,,,,,,6.17
2011-08-31,32.62,27.12,20.62,4.81,7.94,,,,,,,,6.88
2011-09-15,33.14,28.86,19.43,3.86,7.71,,,2.0,,,,,6.71
2011-09-30,32.72,29.39,18.89,3.89,7.33,,,5.0,,,,,6.11
2011-10-15,32.0,28.5,16.83,3.5,6.83,,,7.67,,,,,4.67
2011-10-31,31.89,28.83,16.17,3.5,7.17,,,8.28,,,,,4.17
2011-11-15,33.0,29.33,15.5,3.67,7.5,,,7.33,,,,,3.67
2011-11-30,34.22,28.22,15.56,3.17,7.89,,,6.72,,,,,4.22
2011-12-15,34.57,28.86,15.14,3.14,7.57,,,6.29,,,,,4.43
2011-12-31,34.83,29.5,15.17,3.0,6.83,,,6.67,,,,,4.0
2012-01-15,35.33,28.67,15.5,2.83,6.83,,,6.67,,,,,4.17
2012-01-31,35.38,28.62,15.31,3.12,7.0,,,6.38,,,,,4.19
2012-02-15,36.57,27.57,14.0,2.86,7.71,,,6.86,,,,,4.43
2012-02-29,36.57,27.0,14.93,3.07,7.5,,,7.29,,,,,3.64
2012-03-15,36.17,27.67,14.33,3.0,7.5,,,7.33,,,,,4.0
2012-03-31,35.89,28.0,14.44,3.61,7.67,,,6.56,,,,,3.83
2012-04-15,35.44,26.56,13.0,3.78,7.11,,,10.44,,,,,3.67
2012-04-30,34.94,26.44,13.22,4.28,6.67,,,11.0,,,,,3.44
2012-05-15,34.89,26.89,13.33,4.44,6.67,,,10.33,,,,,3.44
2012-05-31,33.46,29.25,13.17,4.96,5.62,,,10.0,,,,,3.54
2012-06-15,33.38,29.75,13.25,4.88,5.5,,,9.0,,,,,4.25
2012-06-30,33.89,29.11,13.5,5.06,6.0,,,8.61,,,,,3.94
2012-07-15,35.0,28.78,13.33,4.22,6.33,,,8.22,2.0,,,,3.75
2012-07-31,35.56,28.44,13.33,4.44,6.22,,,7.83,1.67,,,,3.61
2012-08-15,35.78,28.33,13.33,4.56,6.33,,,7.56,1.67,,,,3.56
2012-08-31,36.1,28.1,13.5,4.75,6.5,,,6.85,1.67,,,,3.7
2012-09-15,37.0,28.12,13.38,4.12,6.62,,,6.38,2.0,,,,3.88
2012-09-30,37.0,27.82,13.0,4.59,7.05,,,6.05,1.33,,,,4.14
2012-10-15,36.8,29.6,11.8,4.2,7.3,,,5.4,2.0,,,,4.3
2012-10-31,37.41,29.0,12.73,3.86,7.36,,,4.82,2.0,,,,4.27
2012-11-15,38.29,28.71,13.71,4.0,7.0,,,4.14,1.5,,,,3.71
2012-11-30,37.68,28.36,14.5,4.0,7.05,,,4.18,2.0,,,,3.68
2012-12-15,38.0,28.38,14.25,4.12,7.25,,,3.5,2.0,,,,4.0
2012-12-31,39.06,28.5,13.5,4.31,7.31,,,3.44,1.5,,,,3.5
2013-01-15,40.62,27.38,13.88,3.62,7.12,,,3.38,2.0,,,,3.5
2013-01-31,41.23,26.23,14.0,4.15,6.85,,,3.46,1.0,,,,3.85
2013-02-15,40.38,27.25,14.88,3.88,6.62,,,3.12,1.5,,,,3.5
2013-02-28,40.45,27.18,14.91,4.45,6.5,,,2.73,1.33,,,,3.41
2013-03-15,40.22,26.11,15.56,4.44,7.22,,,2.75,1.5,,,,3.67
2013-03-31,39.54,26.62,15.04,4.92,7.33,,,2.79,1.0,,,,3.5
2013-04-15,40.62,25.75,14.62,4.75,7.62,,,2.71,2.0,,,,4.0
2013-04-30,39.88,25.85,14.38,4.77,6.92,3.11,,2.64,1.2,,,,3.35
2013-05-15,38.55,25.5,14.7,4.55,7.3,2.75,,3.12,1.0,,,,3.95
2013-05-31,39.85,26.08,13.69,4.23,6.92,2.88,,2.86,2.0,,,,3.31
2013-06-15,40.3,26.0,13.8,4.3,7.0,2.8,,2.86,1.0,,,,3.5
2013-06-30,40.58,24.83,14.08,4.75,7.33,2.3,,2.5,1.33,,,,4.08
2013-07-15,40.8,24.95,13.55,4.75,7.3,2.5,,2.5,1.5,,,,4.1
2013-07-31,40.18,24.64,13.64,4.82,7.64,2.45,,2.45,1.0,,,,3.82
2013-08-15,40.5,25.1,13.3,5.0,7.6,2.5,,2.75,1.0,,,,4.6
2013-08-31,40.38,24.58,12.58,5.62,8.0,2.55,,2.9,1.33,,,,4.15
2013-09-15,39.64,25.71,10.82,5.21,8.54,3.25,,2.83,1.0,,,,4.12
2013-09-30,40.2,26.27,8.74,4.98,9.11,4.37,0.2,2.2,1.0,1.3,,0.1,4.76
2013-10-15,42.5,25.12,8.5,3.5,9.0,5.56,,2.0,1.0,,,,5.19
2013-10-31,42.0,25.45,9.0,3.7,9.05,5.0,,,,,,,5.78
2013-11-15,41.75,25.38,9.69,3.31,9.06,4.69,,,,,,,6.12
2013-11-30,41.25,25.0,9.65,3.5,9.4,4.75,,2.0,2.0,,,,5.83
2013-12-15,42.25,24.8,9.6,3.45,9.4,4.55,,2.0,,,,,5.75
2013-12-31,41.7,25.7,9.3,4.0,9.0,4.5,,,,,,,5.8
2014-01-15,41.21,24.71,9.57,4.43,9.5,4.57,,,,,,,6.0
2014-01-31,41.55,25.23,9.45,4.36,9.09,4.18,,2.25,,,,,5.73
2014-02-15,41.5,25.14,9.5,4.0,9.36,4.43,,2.25,,,,,5.43
2014-02-28,40.85,24.5,10.25,4.1,9.6,4.95,,2.0,2.0,,,,4.95
