Date,CDU/CSU,SPD,GRÜNE,FDP,LINKE,AfD,REP,PIRATEN,Rechte,Non-Voters,FW,NPD,KPD/DKP,DRP,GB/BHE,DP,BP,Zentrum,Other,Surveyed,Time,Institute
2020-05-22,38.0 ,15.5 ,19.0 ,5.5 ,7.0 ,9.0 ,,,,,,,,,,,,,6.0 ,1013,06.05.–14.05.,Allensbach
2020-04-24,38.0 ,16.0 ,19.0 ,6.0 ,7.0 ,9.0 ,,,,,,,,,,,,,5.0 ,1152,01.04.–15.04.,Allensbach
2020-03-25,29.0 ,16.5 ,23.0 ,7.0 ,8.0 ,11.5 ,,,,,,,,,,,,,5.0 ,1219,05.03.–18.03.,Allensbach
2020-02-19,27.5 ,14.5 ,23.0 ,8.0 ,9.5 ,13.0 ,,,,,,,,,,,,,4.5 ,1262,01.02.–12.02.,Allensbach
2020-01-29,28.5 ,14.0 ,23.5 ,8.0 ,8.0 ,13.0 ,,,,,,,,,,,,,5.0 ,1273,09.01.–22.01.,Allensbach
2019-12-19,28.5 ,15.0 ,21.0 ,7.0 ,8.5 ,15.0 ,,,,,,,,,,,,,5.0 ,1270,01.12.–11.12.,Allensbach
2019-11-19,29.5 ,14.0 ,21.5 ,7.5 ,8.0 ,14.5 ,,,,,,,,,,,,,5.0 ,1298,02.11.–13.11.,Allensbach
2019-10-16,29.5 ,16.0 ,23.5 ,6.5 ,7.0 ,13.0 ,,,,,,,,,,,,,4.5 ,1238,27.09.–10.10.,Allensbach
2019-09-17,29.0 ,15.0 ,22.0 ,7.0 ,8.0 ,14.0 ,,,,,,,,,,,,,5.0 ,1255,01.09.–12.09.,Allensbach
2019-08-21,29.5 ,13.5 ,24.0 ,7.0 ,8.0 ,12.5 ,,,,,,,,,,,,,5.5 ,1262,02.08.–15.08.,Allensbach
2019-07-24,29.5 ,14.5 ,23.0 ,7.0 ,8.5 ,11.5 ,,,,,,,,,,,,,6.0 ,1228,01.07.–11.07.,Allensbach
2019-06-21,29.0 ,12.0 ,25.0 ,8.0 ,8.0 ,12.0 ,,,,,,,,,,,,,6.0 ,1273,01.06.–12.06.,Allensbach
2019-05-23,30.0 ,17.5 ,17.0 ,9.0 ,8.5 ,13.0 ,,,,,,,,,,,,,5.0 ,1283,03.05.–16.05.,Allensbach
2019-04-18,30.0 ,18.5 ,18.0 ,9.0 ,8.0 ,12.5 ,,,,,,,,,,,,,4.0 ,1305,01.04.–12.04.,Allensbach
2019-03-27,30.0 ,18.0 ,19.0 ,8.5 ,8.5 ,12.0 ,,,,,,,,,,,,,4.0 ,1198,07.03.–21.03.,Allensbach
2019-02-19,30.0 ,18.0 ,18.5 ,8.0 ,8.0 ,13.5 ,,,,,,,,,,,,,4.0 ,1222,01.02.–13.02.,Allensbach
2019-01-23,31.5 ,16.5 ,18.0 ,8.5 ,8.5 ,13.0 ,,,,,,,,,,,,,4.0 ,1249,05.01.–17.01.,Allensbach
2018-12-20,29.0 ,16.5 ,19.0 ,8.5 ,9.0 ,14.0 ,,,,,,,,,,,,,4.0 ,1295,01.12.–12.12.,Allensbach
2018-11-30,28.0 ,17.0 ,19.0 ,9.5 ,9.0 ,13.5 ,,,,,,,,,,,,,4.0 ,1242,02.11.–15.11.,Allensbach
2018-10-18,29.0 ,19.0 ,15.0 ,8.5 ,9.0 ,15.0 ,,,,,,,,,,,,,4.5 ,1259,28.09.–11.10.,Allensbach
2018-09-18,31.5 ,19.5 ,12.5 ,8.5 ,9.0 ,15.0 ,,,,,,,,,,,,,4.0 ,1258,01.09.–13.09.,Allensbach
2018-08-15,31.0 ,20.0 ,12.5 ,9.0 ,9.0 ,14.5 ,,,,,,,,,,,,,4.0 ,1295,27.07.–09.08.,Allensbach
2018-07-17,30.5 ,20.0 ,12.0 ,9.5 ,9.0 ,15.0 ,,,,,,,,,,,,,4.0 ,1295,01.07.–12.07.,Allensbach
2018-06-20,33.0 ,21.0 ,11.0 ,9.5 ,9.5 ,13.0 ,,,,,,,,,,,,,3.0 ,1279,01.06.–13.06.,Allensbach
2018-05-17,34.0 ,20.0 ,11.0 ,9.0 ,10.0 ,11.5 ,,,,,,,,,,,,,4.5 ,1253,24.04.–08.05.,Allensbach
2018-04-25,34.0 ,20.5 ,11.0 ,10.0 ,9.0 ,12.0 ,,,,,,,,,,,,,3.5 ,1279,03.04.–17.04.,Allensbach
2018-03-21,34.0 ,19.0 ,11.0 ,10.0 ,10.0 ,12.5 ,,,,,,,,,,,,,3.5 ,1256,02.03.–15.03.,Allensbach
2018-02-23,32.0 ,17.5 ,12.0 ,11.0 ,9.5 ,13.0 ,,,,,,,,,,,,,5.0 ,1271,02.02.–15.02.,Allensbach
2018-01-25,34.0 ,21.0 ,10.5 ,10.0 ,8.5 ,12.0 ,,,,,,,,,,,,,4.0 ,1221,05.01.–18.01.,Allensbach
2017-12-21,34.0 ,21.0 ,11.5 ,10.0 ,9.0 ,11.0 ,,,,,,,,,,,,,3.5 ,1443,01.12.–14.12.,Allensbach
2017-11-30,33.0 ,21.5 ,11.0 ,10.0 ,9.0 ,11.0 ,,,,,,,,,,,,,4.5 ,1299,22.11.–27.11.,Allensbach
2017-10-25,33.0 ,20.5 ,9.5 ,12.0 ,9.0 ,12.0 ,,,,,,,,,,,,,4.0 ,1454,07.10.–19.10.,Allensbach
2017-09-22,36.0 ,22.0 ,8.0 ,10.5 ,9.5 ,10.0 ,,,,,,,,,,,,,4.0 ,1074,13.09.–20.09.,Allensbach
2017-09-19,36.5 ,22.0 ,8.0 ,11.0 ,9.0 ,10.0 ,,,,,,,,,,,,,3.5 ,1083,06.09.–14.09.,Allensbach
2017-09-06,38.5 ,24.0 ,7.5 ,10.0 ,8.0 ,8.0 ,,,,,,,,,,,,,4.0 ,1043,22.08.–31.08.,Allensbach
2017-08-22,39.5 ,24.0 ,7.5 ,10.0 ,8.0 ,7.0 ,,,,,,,,,,,,,4.0 ,1421,04.08.–17.08.,Allensbach
2017-07-18,39.5 ,25.0 ,7.0 ,9.0 ,9.0 ,7.0 ,,,,,,,,,,,,,3.5 ,1403,01.07.–12.07.,Allensbach
2017-06-20,40.0 ,24.0 ,7.0 ,10.5 ,8.5 ,6.5 ,,,,,,,,,,,,,3.5 ,1437,01.06.–15.06.,Allensbach
2017-05-26,37.0 ,26.0 ,8.0 ,9.0 ,8.0 ,8.0 ,,,,,,,,,,,,,4.0 ,1457,05.05.–19.05.,Allensbach
